COMPANY NAME,CITY,LATITUDE,LONGITUDE,PRIMARY NAICS DESCRIPTION
120th Deli & Grocery,Bellevue,47.620296,-122.178589,Limited-Service Restaurants
5th On 4th Sandwich Shop,Olympia,47.045933,-122.890245,Limited-Service Restaurants
8th & Market Shell,Seattle,47.668415,-122.365726,Limited-Service Restaurants
A Chau Cafe Deli,Seattle,47.540525,-122.271376,Limited-Service Restaurants
A Pizza Mart,Seattle,47.5177,-122.376853,Full-Service Restaurants
Abbondanza,Seattle,47.544412,-122.387315,Full-Service Restaurants
Abby's Legendary Pizza,East Wenatchee,47.405537,-120.279344,Full-Service Restaurants
Abby's Legendary Pizza,Yakima,46.592602,-120.572811,Full-Service Restaurants
Abella Pizzeria,Tacoma,47.2436,-122.43679,Full-Service Restaurants
Abriatica Restaurant,Lake Stevens,48.013377,-122.064111,Full-Service Restaurants
Acropolis Pizza & Pasta Co,Kirkland,47.679229,-122.198456,Full-Service Restaurants
Adelo's Pizza,Spokane,47.738416,-117.48487,Full-Service Restaurants
Albertsons Delicatessen,Gig Harbor,47.3607,-122.606757,Limited-Service Restaurants
Albertsons Delicatessen,Redmond,47.645289,-122.026362,Limited-Service Restaurants
Albertsons Delicatessen,Snohomish,47.839025,-122.124868,Limited-Service Restaurants
Albertsons Delicatessen,Tacoma,47.11775,-122.432804,Limited-Service Restaurants
Alfy's Pizza,Snohomish,47.924388,-122.098471,Full-Service Restaurants
Allegra Pizza & Pasta,Seattle,47.6807,-122.325714,Full-Service Restaurants
Amante Pizza & Pasta-Kent,Kent,47.412746,-122.224656,Full-Service Restaurants
Amante Pizza & Pasta-Kirkland,Kirkland,47.709738,-122.237794,Full-Service Restaurants
Amante Pizza & Pasta-Magnolia,Seattle,47.656209,-122.384309,Full-Service Restaurants
Amante Pizza & Pasta-Northgate,Seattle,47.718377,-122.318557,Full-Service Restaurants
Andrew's Pizza & Bakery,Stevenson,45.692608,-121.885445,Full-Service Restaurants
Angel City Deli,Seattle,47.491096,-122.239881,Limited-Service Restaurants
Angelos Pizza & Pasta House,Renton,47.4882,-122.16722,Full-Service Restaurants
