start,end,outlet info
2018-07-23T01:41:18,2018-07-23T02:54:22,"Pandas(_0='Super Buffet', CITY='Lacey', LATITUDE=47.06042, LONGITUDE=-122.76788, _4='Limited-Service Restaurants')"
2018-08-11T23:31:54,2018-08-12T00:00:38,"Pandas(_0='Caliburger', CITY='Seattle', LATITUDE=47.661662, LONGITUDE=-122.313454, _4='Full-Service Restaurants')"
2018-08-14T21:14:36,2018-08-14T21:54:54,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-08-16T03:34:00,2018-08-16T03:59:15,"Pandas(_0='Pagliacci Pizza', CITY='Seattle', LATITUDE=47.655966, LONGITUDE=-122.315167, _4='Full-Service Restaurants')"
2018-08-16T04:15:33,2018-08-16T06:02:03,"Pandas(_0='Pagliacci Pizza', CITY='Seattle', LATITUDE=47.655966, LONGITUDE=-122.315167, _4='Full-Service Restaurants')"
2018-08-18T03:30:39,2018-08-18T05:30:40,"Pandas(_0='Pagliacci Pizza', CITY='Seattle', LATITUDE=47.655966, LONGITUDE=-122.315167, _4='Full-Service Restaurants')"
2018-08-18T18:43:06,2018-08-18T19:49:13,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-08-20T05:13:27,2018-08-20T07:01:34,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-08-27T14:35:26,2018-08-27T16:03:06,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-08-28T01:17:38,2018-08-28T01:43:04,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-08-30T01:20:15,2018-08-30T01:53:31,"Pandas(_0='Kyoto Teriyaki', CITY='Seattle', LATITUDE=47.614031, LONGITUDE=-122.32142, _4='Full-Service Restaurants')"
2018-09-03T17:33:43,2018-09-03T19:10:57,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-04T21:20:05,2018-09-04T22:37:06,"Pandas(_0='Ichiro Teriyaki', CITY='Seattle', LATITUDE=47.657588, LONGITUDE=-122.313163, _4='Full-Service Restaurants')"
2018-09-05T03:20:37,2018-09-05T04:09:28,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-05T09:39:57,2018-09-05T11:43:05,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-06T08:47:26,2018-09-06T09:52:57,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-06T09:55:13,2018-09-06T10:19:50,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-06T13:10:22,2018-09-06T13:30:30,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-06T13:31:49,2018-09-06T14:13:27,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-06T14:26:15,2018-09-06T16:05:09,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-07T20:41:22,2018-09-07T21:11:05,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-08T03:38:38,2018-09-08T04:46:23,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-08T06:19:47,2018-09-08T08:36:59,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-08T10:19:46,2018-09-08T11:07:46,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-08T12:46:22,2018-09-08T14:34:23,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-08T14:35:25,2018-09-08T15:00:25,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-08T15:04:58,2018-09-08T15:25:48,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-08T20:41:16,2018-09-08T21:02:14,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-09T01:17:40,2018-09-09T01:44:03,"Pandas(_0=""P F Chang's China Bistro"", CITY='Seattle', LATITUDE=47.611281, LONGITUDE=-122.337644, _4='Full-Service Restaurants')"
2018-09-11T01:15:40,2018-09-11T02:23:30,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-11T21:08:04,2018-09-11T22:59:39,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-12T02:54:45,2018-09-12T04:08:32,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-12T17:34:56,2018-09-12T18:15:46,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-12T21:10:12,2018-09-12T21:33:45,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-12T22:37:41,2018-09-12T23:56:29,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
2018-09-13T20:28:23,2018-09-13T21:01:15,"Pandas(_0='Spring Kitchen Uw', CITY='Seattle', LATITUDE=47.655672, LONGITUDE=-122.313215, _4='Full-Service Restaurants')"
